gene	pval	dev_exp	fdr	significant	effect_size	regulation	pseudoDEG
15 - LHPP	0.00010550357577199243	0.613423151036417	0.00042627707382623205	True	4.481046258017787	DOWN	False
15 - PDE8A	0.00010645887674531895	0.6082974852200977	0.0004285164403987209	True	4.383224712360046	DOWN	False
15 - ZDHHC7	0.00010648633543908215	0.6137100706142277	0.0004285164403987209	True	4.46980839283451	DOWN	False
17 - TTYH3	0.00010790532121951468	0.6084267459569216	0.0004333547036928301	True	4.407055639643889	DOWN	False
6 - ZNF717	0.00010819621017543746	0.603185942183073	0.0004336521449917333	True	4.344985946951014	DOWN	False
18 - DPYSL2	0.00010991470688825888	0.608038175046046	0.0004379071987580035	True	4.368272451611417	DOWN	False
6 - POMGNT2	0.00010958483354372994	0.6147074663477657	0.0004379071987580035	True	4.559709076025034	DOWN	False
18 - ELP3	0.00010972586861468514	0.6356085366172999	0.0004379071987580035	True	4.934305540416637	DOWN	False
18 - ITPR1	0.00011036883684223397	0.6485605011401481	0.0004388422936072921	True	5.210937920750817	DOWN	False
17 - MAP3K14	0.00011081920756950137	0.6208889489168883	0.00043888795077030244	True	4.66999572648993	DOWN	False
15 - ZNF318	0.0001107308783815375	0.6023938719856348	0.00043888795077030244	True	4.2544025037032585	DOWN	False
18 - CCDC22	0.0001113252940508902	0.6341003684228852	0.0004391530337313223	True	4.901726483624789	DOWN	False
15 - PRR34-AS1	0.00011121314247997116	0.6097717411957263	0.0004391530337313223	True	4.399511367594671	DOWN	False
15 - RNF144A	0.00011309013642613053	0.6048535247261697	0.00044523675758319106	True	4.335878056985338	DOWN	False
18 - CARNMT1	0.0001134358863192908	0.6209805611028726	0.0004456710768639111	True	4.646748534196491	DOWN	False
15 - AK1	0.00011364612460029733	0.6002250724228728	0.0004456710768639111	True	4.25726393073997	DOWN	False
18 - NAPG	0.00011579981613107915	0.6548176774739508	0.00045256302415091695	True	5.34226509621557	DOWN	False
15 - BPGM	0.00011585613418263474	0.619422099998609	0.00045256302415091695	True	4.645785683454337	DOWN	False
15 - RBM18	0.00011678543948534514	0.607957445906642	0.0004544180524721601	True	4.402073486137342	DOWN	False
15 - PHRF1	0.0001167305635346727	0.5992266805405759	0.0004544180524721601	True	4.243948926754669	DOWN	False
18 - ANO6	0.00011896747630790738	0.5955663792568335	0.00046111424925545497	True	4.150449777599989	DOWN	False
6 - CPSF4	0.00011882886389502634	0.6209461658756588	0.00046111424925545497	True	4.673303453676409	DOWN	False
15 - CPSF1	0.00012084335900719445	0.6093122029276528	0.0004674791450955298	True	4.446619359558391	DOWN	False
15 - CAPRIN2	0.00012125659023742852	0.6164401291570714	0.00046817216307887456	True	4.565140860856027	DOWN	False
18 - USP4	0.00012204540675431197	0.6276662677609212	0.0004703098526177725	True	4.8189445466297345	DOWN	False
18 - CD99L2	0.00012339049998055795	0.6555631991619384	0.0004735251931444292	True	5.3510675652707205	DOWN	False
10 - ADGRG1	0.0001237780990681614	0.6158177468672199	0.0004735251931444292	True	4.6172051175840725	DOWN	False
15 - INTS2	0.00012382683800726824	0.5946678486572212	0.0004735251931444292	True	4.170445684776527	DOWN	False
15 - FPGS	0.00012327073371498631	0.5975888335978263	0.0004735251931444292	True	4.229172896906952	DOWN	False
15 - ZFAND4	0.0001267197683155752	0.5934755719654908	0.0004836632378457068	True	4.168427910659818	DOWN	False
18 - PRPSAP2	0.0001297771436978845	0.6455431615290848	0.0004943891188490838	True	5.209024534286368	DOWN	False
18 - LIMA1	0.00013057474373823208	0.634164128933369	0.0004964819153544946	True	4.965233657871779	DOWN	False
15 - PIKFYVE	0.00013157979657407726	0.5955404748224207	0.000498751252796374	True	4.218397301000552	DOWN	False
18 - FEM1B	0.00013167033073824275	0.6193092631652144	0.000498751252796374	True	4.674645972843975	DOWN	False
17 - SLC35C1	0.00013279910665431327	0.6045781819099278	0.0005020760175966475	True	4.4960091425635795	DOWN	False
15 - ZC3H12A	0.00013636257005000818	0.613409568884397	0.0005145757360377667	True	4.600650767121075	DOWN	False
18 - ZFP90	0.00013701278528510663	0.6097401945966878	0.0005154546961604359	True	4.520807774226209	DOWN	False
15 - AGO1	0.00013711094917867594	0.5858491578692552	0.0005154546961604359	True	4.040765060078944	DOWN	False
15 - ATP13A1	0.00013865345609265223	0.6164139931158998	0.000520275632617832	True	4.636226203951259	DOWN	False
15 - TOP1MT	0.00013968684857468272	0.5890332431443712	0.000523171717508175	True	4.116279697299263	DOWN	False
15 - TUBB2A	0.00014101357440998719	0.6404864511857913	0.0005271535491962137	True	5.106222443482306	DOWN	False
17 - TARBP2	0.00014175486001277715	0.5885045727227263	0.0005289360448237953	True	4.171229522875704	DOWN	False
15 - SAMD12	0.00014227601101279852	0.5909579061618955	0.0005298920335672198	True	4.181512333471225	DOWN	False
17 - GOT1	0.00014262126773845196	0.6175555623415865	0.0005301905863882972	True	4.717218250921274	DOWN	False
6 - MAP1S	0.00014364206345374164	0.5889556008315178	0.0005329946695871675	True	4.166465050677425	DOWN	False
15 - IFI44L	0.00014404514245569544	0.5918958853692207	0.0005335005276136868	True	4.204900678832758	DOWN	False
6 - MEN1	0.0001463864134489956	0.6031231137837039	0.0005411697354861206	True	4.424748006273963	DOWN	False
18 - TMEM70	0.00015068281946939432	0.6777538504367533	0.000556025164093706	True	5.854953529496756	DOWN	False
15 - GPRASP1	0.00015191717828544338	0.5945077216371704	0.0005595476179942665	True	4.259218164045344	DOWN	False
18 - ARFGAP1	0.0001541363300024967	0.6168092606822427	0.0005666776838327085	True	4.761852938887093	DOWN	False
17 - TELO2	0.00015461940958849674	0.6141643549199949	0.0005674106773889789	True	4.691588662235204	DOWN	False
17 - LINC00665	0.00015512450833887748	0.5880605468485807	0.0005682216422669504	True	4.1712814055561145	DOWN	False
15 - UNC93B1	0.00015827218471042848	0.5860162059150457	0.0005786917174055885	True	4.133410371630185	DOWN	False
6 - FANCM	0.00015967465723243368	0.5972560094814097	0.0005816927403731646	True	4.396483918193661	DOWN	False
6 - ZNF75D	0.0001596263095383632	0.6051003892914277	0.0005816927403731646	True	4.525848802338587	DOWN	False
17 - ZNF592	0.00016425528831520708	0.5751726214738277	0.0005972919575098439	True	3.9973329415199252	DOWN	False
10 - APEX2	0.00016459941284108215	0.6013971053741136	0.0005974570339059243	True	4.457332461523465	DOWN	False
6 - RPUSD2	0.00016910889920040972	0.549467039632366	0.0006127134029000351	True	3.372980109216909	DOWN	False
15 - CREB3L2	0.000169702336062727	0.6297307449701502	0.0006137516674963001	True	4.9593693276611415	DOWN	False
15 - PHF8	0.00017026257303842662	0.6036695135226062	0.0006146663286585798	True	4.46456185403369	DOWN	False
8 - TAOK1	0.00017147622517288408	0.6344543074080566	0.0006179323429653479	True	5.067545573873925	DOWN	False
18 - UBQLN2	0.0001738305507813509	0.6160990673102961	0.0006252897510120536	True	4.748292477788715	DOWN	False
18 - AGA	0.00017444864486027	0.6499437298314824	0.0006263865165539317	True	5.354157192294812	DOWN	False
18 - MYD88	0.00018343328546410742	0.6397642752510584	0.0006574669729896322	True	5.211303307608622	DOWN	False
18 - ZFP62	0.0001838664127378209	0.6294103580972394	0.0006578404749117026	True	4.9830201949244515	DOWN	False
6 - C7orf43	0.00018896427891335055	0.566986662830748	0.0006748581516833769	True	3.8490877210582575	DOWN	False
17 - RAB40B	0.00018929771154718722	0.623776432770524	0.0006748581516833769	True	4.942364488682025	DOWN	False
18 - BCOR	0.00019412883935643332	0.6009957147099221	0.0006908499621225384	True	4.570025796972091	DOWN	False
15 - FAM8A1	0.0001949733965239675	0.5847222865780273	0.0006926230782378953	True	4.204773962842402	DOWN	False
18 - NPC1	0.00019864076250653007	0.6408564982254423	0.000704399867044433	True	5.226080214235589	DOWN	False
18 - TGFBRAP1	0.00020022190968072007	0.5805760011494376	0.0007087501227636109	True	4.154894183277585	DOWN	False
18 - VPS41	0.00020070006218231295	0.660253672876693	0.000709187498877431	True	5.595557416134405	DOWN	False
15 - RFX5	0.0002075927777926978	0.5677027787180112	0.0007320957915340964	True	3.9470423126392613	DOWN	False
17 - SIPA1L3	0.00020791520479568337	0.5826316164083325	0.0007320957915340964	True	4.280135546507337	DOWN	False
18 - IPO9	0.0002205829909558421	0.6011630374418973	0.0007753356448360004	True	4.589564922843348	DOWN	False
6 - FPGT	0.00022206784791312106	0.5552814525055982	0.0007788601705408218	True	3.766991095497459	DOWN	False
18 - HSPBP1	0.00022236457868940462	0.5941977072087308	0.0007788601705408218	True	4.507309018164654	DOWN	False
18 - RNF40	0.00022847181706042718	0.5752968492522132	0.0007988525072042909	True	4.156425963845151	DOWN	False
18 - TMEM182	0.00023123085339094018	0.6105224091803118	0.0008070884935111351	True	4.750420018973747	DOWN	False
6 - ST3GAL6	0.00023410149021763083	0.5463286314770164	0.0008156846349046371	True	3.579670073030062	DOWN	False
18 - UBL7	0.00024148499789233835	0.5792007184169845	0.0008399478187559596	True	4.251165560506708	DOWN	False
15 - PDZD8	0.0002454432191514311	0.5592541978014998	0.000852233399831358	True	3.8564781316595913	DOWN	False
17 - CX3CR1	0.0002497888183833341	0.5693623888181749	0.0008652114556186637	True	4.154369675521199	DOWN	False
18 - MTMR1	0.00025047871640160313	0.5723773354178465	0.0008652114556186637	True	4.154565835965142	DOWN	False
15 - ABCC1	0.00025032008085890123	0.5483063692983536	0.0008652114556186637	True	3.6260182424839074	DOWN	False
15 - SETDB1	0.0002543504669457741	0.5468986498318218	0.0008770705756750832	True	3.6540402488314876	DOWN	False
18 - TXLNA	0.0002635342033804333	0.6062737872970179	0.0009071745383147447	True	4.691333399220304	DOWN	False
6 - ABHD15	0.0002758376458120715	0.5350595822440903	0.0009478956900758471	True	3.4748271411234333	DOWN	False
15 - FOSL2	0.00028013276482452554	0.5479185681247286	0.0009610043390206708	True	3.6991710974452188	DOWN	False
18 - ZNF598	0.0002964521781447793	0.5547058488984885	0.0010152471854273264	True	3.891258844997362	DOWN	False
18 - SNX1	0.00030199356241500386	0.6424580257527606	0.001032456623641039	True	5.382729786155592	DOWN	False
18 - CLN5	0.0003071358580661876	0.6335197514054227	0.001048245249372654	True	5.2261688139967015	DOWN	False
17 - DPY19L3	0.00032042712751445546	0.5558792820950182	0.0010917448978346013	True	3.977320216016123	DOWN	False
6 - RAB3IP	0.0003223883027742014	0.5287841387158745	0.0010965588529734743	True	3.4638676303813396	DOWN	False
15 - RASSF2	0.00033118255464847923	0.5933632820311142	0.0011245587594175867	True	4.553557681750543	DOWN	False
6 - WEE1	0.0003332722089056661	0.5558904190856344	0.0011297363013751394	True	3.9975485540489903	DOWN	False
12 - ZNF623	0.0003398920543391526	0.5487396130276427	0.001150226918237403	True	3.8577163261007024	DOWN	False
6 - ZNF737	0.0003507066088447308	0.5485737484283	0.001184819624475442	True	3.8271374166618575	DOWN	False
6 - ZSCAN18	0.00036522323156018555	0.5220327934815638	0.0012317815566953983	True	3.461543970346883	DOWN	False
18 - RC3H1	0.00036869844885800696	0.6011415486125441	0.0012414089187138282	True	4.767485787297043	DOWN	False
18 - NUGGC	0.0003730277931964787	0.6163565045939992	0.0012538749351142142	True	4.985533887979751	DOWN	False
